,index,time_in,time_out
0,1.0,22557.0,22857.0
1,2.0,24657.0,24957.0
2,3.0,25557.0,25857.0
3,4.0,30057.0,30357.0
4,5.0,33357.0,33657.0
5,6.0,33957.0,34257.0
6,7.0,34857.0,35157.0
7,8.0,40257.0,40557.0
8,9.0,44157.0,44457.0
9,10.0,45057.0,45357.0
10,11.0,47157.0,47457.0
11,12.0,50157.0,50457.0
12,13.0,53157.0,53457.0
13,14.0,55557.0,55857.0
14,15.0,57957.0,58257.0
15,16.0,59757.0,60057.0
16,17.0,60357.0,60657.0
17,18.0,63657.0,63957.0
18,19.0,67557.0,67857.0
19,20.0,71457.0,71757.0
20,21.0,72657.0,72957.0
21,22.0,76857.0,77157.0
22,23.0,77757.0,78057.0
23,24.0,78657.0,78957.0
24,25.0,79257.0,79557.0
